id;work_year;experience_level;employment_type;job_title;salary_in_usd;employee_residence;remote_ratio;company_location;company_size
176;2021;MI;FT;Data Scientist;2859;MX;0;MX;S
185;2021;MI;FT;Data Engineer;4000;IR;100;IR;M
238;2021;EN;FT;Data Scientist;4000;VN;0;VN;M
77;2021;MI;PT;3D Computer Vision Researcher;5409;IN;50;IN;M
179;2021;MI;FT;Data Scientist;5679;IN;100;US;S
18;2020;EN;FT;Data Science Consultant;5707;IN;50;IN;M
213;2021;EN;FT;Big Data Engineer;5882;IN;0;CH;L
21;2020;MI;FT;Product Data Analyst;6072;IN;100;IN;L
50;2020;EN;FT;Data Analyst;6072;IN;0;IN;S
15;2020;MI;FT;Data Analyst;8000;PK;50;PK;L
196;2021;EN;FT;BI Data Analyst;9272;KE;100;KE;S
127;2021;MI;FT;Data Scientist;9466;IN;0;IN;S
38;2020;EN;FT;Data Analyst;10000;NG;100;NG;S
521;2022;EN;FT;Computer Vision Engineer;10000;PT;100;LU;M
124;2021;EN;PT;Data Analyst;10354;ES;50;ES;M
96;2021;EN;PT;AI Scientist;12000;BR;100;US;S
113;2021;EN;PT;AI Scientist;12000;PK;100;US;M
184;2021;MI;FL;Machine Learning Scientist;12000;PK;50;PK;M
247;2021;MI;FT;Data Engineer;12103;TR;0;TR;M
205;2021;MI;FT;Data Scientist;12901;BR;0;BR;S
153;2021;EN;FT;Data Scientist;13400;UA;100;UA;L
45;2020;EN;PT;ML Engineer;15966;DE;100;DE;S
230;2021;EN;FT;Big Data Engineer;16228;IN;100;IN;L
262;2021;MI;FT;Data Scientist;16904;IN;100;IN;S
192;2021;MI;FT;Big Data Engineer;18000;MD;0;MD;S
244;2021;EN;FT;AI Scientist;18053;IN;100;AS;S
458;2022;MI;FT;Business Data Analyst;18442;IN;100;IN;M
463;2022;EN;FT;Data Scientist;18442;IN;100;IN;M
271;2021;SE;FT;Computer Vision Engineer;18907;BR;0;BR;M
92;2021;MI;FT;Lead Data Analyst;19609;IN;100;IN;L
3;2020;MI;FT;Product Data Analyst;20000;HN;0;HN;S
128;2021;EN;FT;Machine Learning Engineer;20000;IN;100;IN;S
208;2021;MI;FL;Data Engineer;20000;IT;0;US;L
514;2022;EN;FT;Data Analytics Engineer;20000;PK;0;PK;M
522;2022;MI;FT;Data Analyst;20000;GR;100;GR;S
278;2021;SE;FT;Data Scientist;20171;TR;50;TR;L
239;2021;EN;FT;Data Engineer;21637;IN;50;IN;M
62;2020;EN;PT;Data Scientist;21669;IT;50;IT;S
191;2021;EN;FT;Machine Learning Engineer;21844;CO;50;CO;M
449;2022;EN;FT;ML Engineer;21983;PT;100;PT;L
180;2021;MI;FT;Big Data Engineer;22611;IN;0;IN;L
133;2021;SE;FT;Computer Vision Engineer;24000;BR;100;BR;M
197;2021;SE;FT;Machine Learning Engineer;24342;IN;100;IN;L
210;2021;MI;FT;Machine Learning Engineer;24823;SI;50;SI;L
214;2021;EN;FT;Machine Learning Engineer;24823;DE;50;DE;M
579;2022;SE;FT;Data Engineer;25000;US;100;US;M
264;2021;MI;FT;Data Scientist;25532;RS;100;DE;S
182;2021;MI;FT;Data Engineer;26005;RO;0;US;L
268;2021;MI;FT;Data Engineer;28016;TR;100;TR;M
162;2021;MI;FT;Data Engineer;28369;MT;50;MT;L
253;2021;EN;FT;Data Scientist;28399;IN;100;IN;M
85;2021;MI;FT;Data Engineer;28476;PL;100;PL;L
216;2021;EN;PT;Computer Vision Engineer;28609;DK;50;DK;S
94;2021;EN;FT;Data Scientist;29751;IN;50;IN;L
109;2021;EN;FT;Data Engineer;30428;IN;100;IN;L
459;2022;MI;FT;Data Scientist;31615;IN;100;IN;L
489;2022;EN;CT;Applied Machine Learning Scientist;31875;TN;100;CZ;M
431;2022;MI;FT;Data Analyst;32974;ES;100;ES;M
441;2022;MI;FT;Data Analyst;32974;GR;100;GR;M
501;2022;MI;FT;Head of Data;32974;EE;100;EE;S
27;2020;SE;FT;Data Engineer;33511;MX;0;MX;S
222;2021;MI;FT;Data Scientist;33808;IN;0;IN;M
492;2022;MI;FT;Data Scientist;35590;PL;100;PL;L
7;2020;MI;FT;Data Scientist;35735;HU;50;HU;L
102;2021;MI;FT;BI Data Analyst;36259;HU;50;US;L
246;2021;EN;FT;Data Scientist;36643;FR;50;FR;L
455;2022;MI;FT;NLP Engineer;37236;US;50;US;L
386;2022;EN;FT;Machine Learning Engineer;37300;GB;100;GB;L
202;2021;MI;FT;Data Scientist;37825;ES;100;ES;L
132;2021;MI;FT;Applied Machine Learning Scientist;38400;VN;100;US;M
56;2020;MI;FT;Data Scientist;38776;ES;100;ES;M
312;2022;MI;FT;Data Scientist;39263;GB;0;GB;M
429;2022;MI;FT;Data Analyst;39263;GB;100;GB;M
12;2020;EN;FT;Data Scientist;39916;FR;0;FR;M
502;2022;EN;FT;Data Scientist;40000;JP;100;MY;L
177;2021;MI;FT;Data Scientist;40038;CL;100;CL;L
117;2021;MI;FT;Data Science Engineer;40189;GR;100;GR;M
11;2020;MI;FT;Data Scientist;40481;IN;0;IN;L
129;2021;SE;FT;Lead Data Scientist;40570;IN;50;IN;L
16;2020;EN;FT;Data Engineer;41689;JP;100;JP;S
26;2020;EN;FT;Research Scientist;42000;NL;50;NL;L
71;2020;MI;FT;Data Scientist;42197;FR;50;FR;S
20;2020;MI;FT;Machine Learning Engineer;43331;CN;0;CN;M
430;2022;MI;FT;Data Analyst;43966;ES;100;ES;M
440;2022;MI;FT;Data Analyst;43966;GR;100;GR;M
114;2021;MI;FT;Data Engineer;45391;NL;100;NL;L
64;2020;SE;FT;Machine Learning Engineer;45618;HR;100;HR;S
40;2020;MI;FT;Data Scientist;45760;PH;100;US;S
316;2022;EN;FT;Data Engineer;45807;GB;100;GB;M
411;2022;MI;FT;Data Scientist;45807;GB;0;GB;M
586;2022;MI;FT;Data Analyst;45807;GB;0;GB;M
52;2020;EN;FT;AI Scientist;45896;DK;50;DK;S
220;2021;MI;FT;Machine Learning Engineer;46597;PL;100;PL;L
34;2020;MI;FT;Data Analyst;46759;FR;50;FR;L
237;2021;MI;FT;Data Scientist;46809;ES;100;ES;M
83;2021;MI;FT;Machine Learning Engineer;47282;ES;100;ES;S
22;2020;SE;FT;Data Engineer;47899;GR;50;GR;L
515;2022;MI;FT;Data Scientist;48000;RU;100;US;S
66;2020;EN;FT;Data Scientist;49268;DE;0;DE;S
413;2022;MI;FT;Data Engineer;49461;GR;100;GR;M
427;2022;MI;FT;Data Engineer;49461;ES;100;ES;M
131;2021;EN;FT;Data Scientist;49646;FR;50;FR;M
116;2021;MI;FT;Data Scientist;50000;NG;100;NG;L
122;2021;EN;FT;Data Analyst;50000;US;100;US;M
186;2021;SE;FT;Data Analytics Engineer;50000;VN;100;GB;M
203;2021;SE;FT;Research Scientist;50000;FR;100;US;S
471;2022;MI;FT;Data Analyst;50000;US;100;US;M
42;2020;MI;FT;Machine Learning Infrastructure Engineer;50180;PT;0;PT;M
288;2021;MI;FT;Machine Learning Engineer;51064;IT;50;IT;L
10;2020;EN;FT;Data Scientist;51321;FR;0;FR;S
105;2021;MI;FT;Data Analyst;51519;GB;50;GB;L
601;2022;EN;FT;Data Analyst;52000;CA;0;CA;M
304;2022;EN;FT;Data Engineer;52351;GB;100;GB;M
314;2022;MI;FT;Data Engineer;52351;GB;0;GB;M
408;2022;MI;FT;Data Analyst;52351;GB;100;GB;M
499;2022;EN;FT;Data Scientist;52396;CA;100;CA;L
75;2021;SE;FT;Data Scientist;53192;FR;50;FR;L
565;2022;SE;FT;Data Engineer;54000;US;0;US;M
198;2021;SE;FT;Data Science Manager;54094;IN;50;US;L
82;2021;MI;FT;Applied Data Scientist;54238;GB;50;CA;L
53;2020;EN;FT;Data Engineer;54742;PK;100;DE;L
373;2022;MI;FT;ETL Developer;54957;GR;0;GR;M
374;2022;MI;FT;ETL Developer;54957;GR;0;GR;M
462;2022;MI;PT;Data Engineer;54957;DE;50;DE;L
168;2021;EN;FT;BI Data Analyst;55000;US;50;US;S
277;2021;SE;FT;AI Scientist;55000;ES;100;ES;L
19;2020;MI;FT;Lead Data Engineer;56000;PT;100;US;M
223;2021;MI;FT;Data Scientist;56256;GB;50;GB;L
211;2021;MI;FT;Research Scientist;56738;FR;50;FR;S
276;2021;EN;FT;Data Scientist;58000;US;50;US;L
367;2022;MI;FT;Data Analyst;58000;US;0;US;S
406;2022;MI;FT;Data Analyst;58000;US;0;US;S
496;2022;EN;FT;Data Engineer;58035;PK;100;DE;M
460;2022;MI;FT;Machine Learning Infrastructure Engineer;58255;PT;50;PT;L
415;2022;MI;FT;Data Engineer;58894;GB;100;GB;M
86;2021;EN;FT;Data Analyst;59102;FR;50;FR;M
279;2021;EN;FT;Business Data Analyst;59102;LU;100;LU;L
30;2020;MI;FT;Data Engineering Manager;59303;DE;100;DE;S
54;2020;SE;FL;Computer Vision Engineer;60000;RU;100;US;S
120;2021;MI;FT;Big Data Engineer;60000;ES;50;RO;M
172;2021;EN;FT;Data Analyst;60000;US;100;US;S
417;2022;SE;FT;Data Science Engineer;60000;AR;100;MX;L
589;2022;SE;FT;Data Analyst;60000;US;100;US;M
174;2021;SE;FT;Research Scientist;60757;PT;50;PT;L
361;2022;SE;FT;Data Analyst;61300;CA;100;CA;M
363;2022;SE;FT;Data Analyst;61300;CA;100;CA;M
200;2021;MI;FT;Data Scientist;61467;DE;50;AT;M
183;2021;SE;FT;Finance Data Analyst;61896;GB;50;GB;L
103;2021;MI;FT;Data Analyst;62000;US;0;US;L
146;2021;MI;FT;Research Scientist;62649;FR;50;FR;M
500;2022;SE;FT;Machine Learning Engineer;62651;NL;100;NL;L
65;2020;EN;FT;Data Scientist;62726;DE;50;DE;S
70;2020;MI;FT;Data Scientist;62726;FR;50;LU;S
136;2021;MI;FT;ML Engineer;63711;JP;50;JP;S
236;2021;MI;FT;Research Scientist;63810;CA;100;CA;M
163;2021;EN;FT;Data Science Consultant;63831;DE;50;DE;L
261;2021;SE;FT;Data Analyst;63831;DE;50;DE;L
418;2022;MI;FT;Data Engineer;63900;US;0;US;M
507;2022;MI;FT;Research Scientist;64849;AT;0;AT;L
481;2022;SE;FT;Machine Learning Engineer;65000;AE;100;AE;S
512;2022;EN;FT;Data Engineer;65000;US;100;US;S
269;2021;EN;FT;Data Engineer;65013;DE;50;DE;M
311;2022;MI;FT;Data Scientist;65438;GB;0;GB;M
355;2022;SE;FT;Data Engineer;65438;GB;0;GB;M
567;2022;MI;FT;Data Analyst;65438;GB;0;GB;M
412;2022;MI;FT;Data Engineer;65949;GR;100;GR;M
436;2022;MI;FT;Data Engineer;65949;ES;100;ES;M
212;2021;MI;FT;Data Engineer;66022;HK;50;GB;S
263;2021;SE;FT;Machine Learning Engineer;66265;IN;0;IN;L
600;2022;EN;FT;Data Analyst;67000;CA;0;CA;M
517;2022;MI;FT;Data Engineer;68147;FR;100;FR;M
32;2020;SE;FT;Data Scientist;68428;GR;100;US;L
573;2022;SE;FT;Data Analyst;69000;US;100;US;M
520;2022;MI;FT;Data Scientist;69336;CA;100;CA;M
187;2021;EX;FT;Data Science Consultant;69741;FR;100;ES;S
282;2021;MI;PT;Data Engineer;69741;NL;100;NL;L
284;2021;MI;FT;Research Scientist;69999;CZ;50;CZ;L
31;2020;EN;FT;Big Data Engineer;70000;US;100;US;L
98;2021;EN;FT;Computer Vision Software Engineer;70000;US;100;US;M
49;2020;MI;FT;Data Engineer;70139;FR;50;FR;L
557;2022;SE;FT;Data Engineer;70500;US;0;US;M
511;2022;MI;FT;Business Data Analyst;70912;CA;50;CA;L
513;2022;SE;FT;Machine Learning Engineer;71444;IE;100;IE;S
229;2021;SE;FT;Data Analyst;71786;CA;100;CA;M
410;2022;MI;FT;Data Scientist;71982;GB;0;GB;M
5;2020;EN;FT;Data Analyst;72000;US;100;US;L
245;2021;MI;FT;Data Engineer;72212;GB;50;GB;L
270;2021;EN;FT;Data Engineer;72500;US;100;US;L
104;2021;MI;FT;Data Scientist;73000;US;0;US;L
189;2021;MI;FT;Machine Learning Engineer;74000;JP;50;JP;S
35;2020;MI;FT;Data Engineer;74130;AT;50;AT;L
100;2021;MI;FT;Data Analyst;75000;US;0;US;L
491;2022;MI;FT;Principal Data Analyst;75000;CA;100;CA;S
506;2022;MI;FT;Applied Machine Learning Scientist;75000;BO;100;US;L
531;2022;MI;FT;Data Analyst;75000;CA;0;CA;M
152;2021;MI;FT;Data Scientist;75774;CA;100;CA;L
91;2021;EN;FT;Data Science Consultant;76833;DE;100;DE;S
188;2021;SE;FT;Data Engineer;76833;RO;50;GB;S
272;2021;EN;FT;Data Science Consultant;76833;DE;0;DE;L
433;2022;MI;FT;Data Engineer;76940;ES;100;ES;M
445;2022;MI;FT;Data Engineer;76940;GR;100;GR;M
46;2020;MI;FT;Data Scientist;76958;GB;100;GB;S
137;2021;MI;FT;ML Engineer;77364;JP;50;JP;S
274;2021;SE;FT;Data Scientist;77684;FR;50;FR;M
526;2022;MI;FT;Data Scientist;78000;US;100;US;M
313;2022;MI;FT;Data Engineer;78526;GB;0;GB;M
354;2022;SE;FT;Data Engineer;78526;GB;0;GB;M
414;2022;MI;FT;Data Engineer;78526;GB;100;GB;M
443;2022;MI;FT;Data Engineer;78526;GB;100;GB;M
451;2022;MI;FT;Machine Learning Developer;78791;CA;100;CA;M
493;2022;SE;FT;Machine Learning Developer;78791;CA;100;CA;M
384;2022;EX;FT;Head of Machine Learning;79039;IN;50;IN;L
80;2021;SE;FT;Data Analytics Engineer;79197;DE;100;DE;L
0;2020;MI;FT;Data Scientist;79833;DE;0;DE;L
41;2020;EX;FT;Data Engineering Manager;79833;ES;50;ES;L
79;2021;EN;FT;Data Analyst;80000;US;100;US;M
89;2021;SE;FT;Data Analyst;80000;BG;100;US;S
139;2021;EN;FT;Data Scientist;80000;US;100;US;M
166;2021;EN;FT;Data Engineer;80000;US;100;US;L
241;2021;MI;FT;Data Analyst;80000;US;100;US;L
424;2022;SE;FT;Data Scientist;80000;US;0;US;M
450;2022;SE;FT;Data Engineer;80000;US;100;US;M
568;2022;SE;FT;Data Analyst;80000;US;100;US;M
178;2021;EN;FT;Machine Learning Engineer;81000;US;50;US;S
403;2022;SE;FT;Data Analyst;81666;US;0;US;M
541;2022;SE;FT;Data Analyst;81666;US;100;US;M
143;2021;MI;FT;Data Scientist;82500;US;100;US;S
72;2021;EN;FT;Research Scientist;82528;GB;50;GB;L
171;2021;MI;FT;Data Engineer;82528;GB;100;GB;L
145;2021;SE;FT;Machine Learning Engineer;82744;BE;50;BE;M
425;2022;MI;FT;Data Engineer;82900;US;0;US;M
297;2022;SE;FT;Data Analyst;84900;US;100;US;M
14;2020;MI;FT;Data Analyst;85000;US;100;US;L
161;2021;EX;FT;Head of Data Science;85000;RU;0;RU;M
273;2021;EN;FT;Machine Learning Engineer;85000;NL;100;DE;S
530;2022;MI;FT;Data Analyst;85000;CA;0;CA;M
505;2022;EN;FT;Data Scientist;86703;AU;50;AU;M
13;2020;MI;FT;Lead Data Analyst;87000;US;100;US;L
503;2022;MI;FT;Machine Learning Engineer;87425;AU;100;AU;L
226;2021;SE;FT;Data Scientist;87738;CA;100;CA;S
396;2022;MI;FT;Machine Learning Engineer;87932;FR;100;DE;M
432;2022;MI;FT;Data Engineer;87932;ES;100;ES;M
437;2022;MI;FT;Data Engineer;87932;GR;100;GR;M
457;2022;SE;FT;Lead Machine Learning Engineer;87932;DE;0;DE;M
90;2021;SE;FT;Marketing Data Analyst;88654;GR;100;DK;L
218;2021;MI;FT;Machine Learning Engineer;88654;BE;100;BE;M
227;2021;MI;FT;Data Scientist;88654;DE;50;DE;L
95;2021;MI;FT;Cloud Data Engineer;89294;SG;50;SG;L
118;2021;EN;FT;Data Analyst;90000;US;100;US;S
135;2021;MI;FT;Data Analyst;90000;US;100;US;M
147;2021;MI;FT;Data Engineer;90000;US;100;US;L
199;2021;EN;FT;Data Science Consultant;90000;US;100;US;S
251;2021;EN;FT;Data Scientist;90000;US;100;US;S
293;2022;MI;FT;Data Scientist;90000;US;0;US;M
318;2022;SE;FT;Data Analyst;90320;US;100;US;M
331;2022;SE;FT;Data Analyst;90320;US;100;US;M
333;2022;SE;FT;Data Analyst;90320;US;100;US;M
393;2022;SE;FT;Data Analyst;90320;US;100;US;M
529;2022;SE;FT;Data Analyst;90320;US;100;US;M
359;2022;SE;FT;Data Architect;90700;CA;100;CA;M
181;2021;MI;FT;Data Scientist;90734;DE;50;DE;L
217;2021;MI;FT;Data Scientist;90734;DE;50;DE;L
51;2020;EN;FT;Data Analyst;91000;US;100;US;L
69;2020;SE;FT;Data Scientist;91237;AT;0;AT;S
435;2022;MI;FT;Data Engineer;91614;GB;100;GB;M
475;2022;MI;FT;Data Scientist;91614;GB;0;GB;M
254;2021;MI;FT;Data Analyst;93000;US;100;US;L
266;2021;MI;FT;Data Engineer;93150;US;0;US;M
498;2022;SE;FT;Research Scientist;93427;FR;50;FR;L
341;2022;SE;FT;Data Engineer;93700;US;100;US;M
383;2022;SE;FT;Data Analyst;93700;US;100;US;M
110;2021;SE;FT;Machine Learning Engineer;94564;DE;50;DE;L
285;2021;SE;FT;Data Science Manager;94665;IN;50;IN;L
347;2022;SE;FT;Data Scientist;95550;US;0;US;M
99;2021;MI;FT;Computer Vision Software Engineer;95746;DE;100;US;S
194;2021;SE;FT;Research Scientist;96113;CA;50;CA;L
248;2021;SE;FT;Data Engineer;96282;GB;50;GB;L
23;2020;MI;FT;BI Data Analyst;98000;US;0;US;M
390;2022;MI;FT;Machine Learning Engineer;98158;GB;0;GB;M
405;2022;MI;FT;Data Engineer;98158;GB;0;GB;M
442;2022;MI;FT;Data Engineer;98158;GB;100;GB;M
305;2022;SE;FT;Data Analyst;99000;US;0;US;M
588;2022;SE;FT;Data Analyst;99000;US;0;US;M
548;2022;SE;FT;Data Analyst;99050;US;100;US;M
543;2022;MI;FT;Data Engineer;99100;US;0;US;M
299;2022;SE;FT;Data Scientist;99360;US;100;US;M
255;2021;SE;FT;Big Data Architect;99703;CA;50;CA;M
28;2020;EN;CT;Business Data Analyst;100000;US;100;US;L
76;2021;MI;FT;BI Data Analyst;100000;US;100;US;M
130;2021;EN;FT;Machine Learning Developer;100000;IQ;50;IQ;S
134;2021;EN;FT;Data Scientist;100000;US;0;US;S
144;2021;MI;FT;Data Engineer;100000;US;100;US;L
275;2021;EN;FT;Data Scientist;100000;US;100;US;M
281;2021;EN;FT;Research Scientist;100000;JE;0;CN;L
461;2022;EN;FT;Financial Data Analyst;100000;US;50;US;L
468;2022;SE;FT;Data Engineer;100000;US;100;US;M
487;2022;EN;PT;Data Scientist;100000;DZ;50;DZ;M
488;2022;MI;FL;Data Scientist;100000;CA;100;US;M
494;2022;SE;FT;Data Scientist;100000;BR;100;US;M
528;2022;SE;FT;Data Analyst;100000;US;100;US;M
572;2022;SE;FT;Data Analyst;100000;US;100;US;M
578;2022;SE;FT;Data Engineer;100000;US;100;US;M
426;2022;SE;FT;Data Engineer;100800;US;100;US;L
381;2022;SE;FT;Data Engineer;101570;US;100;US;M
296;2022;SE;FT;Data Analyst;102100;US;100;US;M
539;2022;MI;FT;Data Scientist;102100;US;0;US;M
286;2021;SE;FT;Head of Data;102839;SI;100;SI;L
